Step,Time,Uncertainty
1,63.47107815742493,0.019991184378683052
2,21.73205304145813,0.019633640634540688
3,124.24026823043823,0.019437937030979444
4,46.8571240901947,0.0192499466192376
5,57.48041391372681,0.01903670097724391
6,118.52195310592651,0.018821774064867663
7,49.29266309738159,0.018523946450885745
8,42.245054960250854,0.01834897885678067
9,44.337624073028564,0.0182009855357606
10,38.170839071273804,0.017987323940890077
11,36.10759925842285,0.01765136640704364
12,124.78921914100647,0.017426930871089402
13,55.39141392707825,0.017270860686957223
14,71.94818997383118,0.01714298857745685
15,27.770212173461914,0.01692755905324563
16,90.69752597808838,0.0167825244502883
17,45.52438282966614,0.016616903116452
18,68.95633792877197,0.016435210109983722
19,31.19053077697754,0.01625638297209911
20,35.28055715560913,0.016182648104117146
21,47.49483013153076,0.01606051528001163
22,41.56492280960083,0.015888652356031617
23,44.463069915771484,0.015723102195866884
24,50.686901569366455,0.015634712439047144
25,85.67497110366821,0.015528141163748956
26,35.0811767578125,0.015380238263926269
27,70.2502908706665,0.015244259102346058
28,94.34324669837952,0.015140673839143016
29,63.76396107673645,0.014951309396927247
30,97.10486698150635,0.014810047235703947
31,63.77335500717163,0.014707168470234086
32,88.25005316734314,0.014548871162873891
